Calibration metrics:
x96: Cal. error 0.5050, RMSE 0.7105, R2 -18.7947
x97: Cal. error 0.5050, RMSE 0.7042, R2 -18.3191
x98: Cal. error 0.5050, RMSE 0.6965, R2 -17.7376
x99: Cal. error 0.5050, RMSE 0.6796, R2 -16.6639
x100: Cal. error 0.5050, RMSE 0.6693, R2 -16.0793
x101: Cal. error 0.5050, RMSE 0.6587, R2 -15.6848
x102: Cal. error 0.5050, RMSE 0.6809, R2 -16.6278
x103: Cal. error 0.5050, RMSE 0.7039, R2 -17.5453
x104: Cal. error 0.5050, RMSE 0.7254, R2 -18.6286
x105: Cal. error 0.5050, RMSE 0.7360, R2 -19.1000
x106: Cal. error 0.5050, RMSE 0.7452, R2 -19.4094
x107: Cal. error 0.5050, RMSE 0.7484, R2 -19.3971
x108: Cal. error 0.5050, RMSE 0.7578, R2 -19.7398
x109: Cal. error 0.5050, RMSE 0.7493, R2 -19.2532
x110: Cal. error 0.5050, RMSE 0.7446, R2 -18.9656
x111: Cal. error 0.5050, RMSE 0.7362, R2 -18.5234
x112: Cal. error 0.5050, RMSE 0.7340, R2 -18.5935
x113: Cal. error 0.5050, RMSE 0.7287, R2 -18.4670
x114: Cal. error 0.5050, RMSE 0.7403, R2 -19.2232
x115: Cal. error 0.5050, RMSE 0.7485, R2 -19.8064
x116: Cal. error 0.5050, RMSE 0.7540, R2 -20.3571
x117: Cal. error 0.5050, RMSE 0.7481, R2 -20.1666
x118: Cal. error 0.5050, RMSE 0.7424, R2 -19.8843
x119: Cal. error 0.5050, RMSE 0.7291, R2 -19.1846
x120: Cal. error 0.5050, RMSE 0.7158, R2 -18.4517
x121: Cal. error 0.5050, RMSE 0.7012, R2 -17.6858
x122: Cal. error 0.5050, RMSE 0.6934, R2 -17.1812
x123: Cal. error 0.5050, RMSE 0.6873, R2 -16.7496
x124: Cal. error 0.5050, RMSE 0.6727, R2 -15.8759
x125: Cal. error 0.5050, RMSE 0.6493, R2 -14.5941
x126: Cal. error 0.5050, RMSE 0.6115, R2 -12.7438
x127: Cal. error 0.5050, RMSE 0.5455, R2 -9.8481
x128: Cal. error 0.3070, RMSE 0.1417, R2 0.3500
x129: Cal. error 0.3240, RMSE 0.1589, R2 0.2237
x130: Cal. error 0.3260, RMSE 0.1653, R2 0.2196
x131: Cal. error 0.3450, RMSE 0.1729, R2 0.1605
x132: Cal. error 0.3500, RMSE 0.1760, R2 0.1507
x133: Cal. error 0.3570, RMSE 0.1787, R2 0.1348
x134: Cal. error 0.3890, RMSE 0.1916, R2 0.0290
x135: Cal. error 0.3960, RMSE 0.1975, R2 -0.0132
x136: Cal. error 0.3640, RMSE 0.1907, R2 0.0233
x137: Cal. error 0.3890, RMSE 0.1946, R2 -0.0473
x138: Cal. error 0.3910, RMSE 0.1978, R2 -0.1092
x139: Cal. error 0.3980, RMSE 0.1974, R2 -0.1320
x140: Cal. error 0.4160, RMSE 0.1959, R2 -0.1756
x141: Cal. error 0.4430, RMSE 0.1939, R2 -0.2235
x142: Cal. error 0.4490, RMSE 0.1958, R2 -0.3111
x143: Cal. error 0.4400, RMSE 0.1953, R2 -0.3544
x144: Cal. error 0.4320, RMSE 0.1933, R2 -0.3713
x145: Cal. error 0.4270, RMSE 0.1914, R2 -0.3822
x146: Cal. error 0.4390, RMSE 0.1911, R2 -0.4111
x147: Cal. error 0.4290, RMSE 0.1846, R2 -0.3368
x148: Cal. error 0.4160, RMSE 0.1785, R2 -0.2674
x149: Cal. error 0.4060, RMSE 0.1789, R2 -0.2732
x150: Cal. error 0.4200, RMSE 0.1833, R2 -0.3208
x151: Cal. error 0.4030, RMSE 0.1788, R2 -0.2696
x152: Cal. error 0.3850, RMSE 0.1729, R2 -0.2355
x153: Cal. error 0.3830, RMSE 0.1712, R2 -0.2197
x154: Cal. error 0.3780, RMSE 0.1755, R2 -0.2491
x155: Cal. error 0.3840, RMSE 0.1837, R2 -0.3104
x156: Cal. error 0.4000, RMSE 0.1984, R2 -0.4146
x157: Cal. error 0.4080, RMSE 0.2127, R2 -0.4609
x158: Cal. error 0.4340, RMSE 0.2255, R2 -0.4478
x159: Cal. error 0.4540, RMSE 0.2278, R2 -0.4565
x160: Cal. error 0.4320, RMSE 0.2175, R2 -0.3558
x161: Cal. error 0.4190, RMSE 0.2070, R2 -0.2832
x162: Cal. error 0.4200, RMSE 0.1996, R2 -0.1846
x163: Cal. error 0.3910, RMSE 0.1907, R2 -0.0757
x164: Cal. error 0.3750, RMSE 0.1788, R2 0.0857
x165: Cal. error 0.3570, RMSE 0.1875, R2 0.0446
x166: Cal. error 0.3930, RMSE 0.1954, R2 0.0135
x167: Cal. error 0.4160, RMSE 0.2147, R2 -0.1301
x168: Cal. error 0.4120, RMSE 0.2258, R2 -0.1757
x169: Cal. error 0.4190, RMSE 0.2296, R2 -0.2654
x170: Cal. error 0.4130, RMSE 0.2265, R2 -0.2681
x171: Cal. error 0.4240, RMSE 0.2438, R2 -0.3536
x172: Cal. error 0.4260, RMSE 0.2437, R2 -0.3353
x173: Cal. error 0.4400, RMSE 0.2468, R2 -0.4692
x174: Cal. error 0.4500, RMSE 0.2488, R2 -0.6238
x175: Cal. error 0.4540, RMSE 0.2521, R2 -0.7747
x176: Cal. error 0.4370, RMSE 0.2478, R2 -0.7749
x177: Cal. error 0.4400, RMSE 0.2539, R2 -0.8622
x178: Cal. error 0.4440, RMSE 0.2513, R2 -0.8728
x179: Cal. error 0.4570, RMSE 0.2477, R2 -0.9331
x180: Cal. error 0.4400, RMSE 0.2414, R2 -0.9552
x181: Cal. error 0.4430, RMSE 0.2392, R2 -0.9702
x182: Cal. error 0.4570, RMSE 0.2349, R2 -0.9389
x183: Cal. error 0.4600, RMSE 0.2230, R2 -0.8142
x184: Cal. error 0.4370, RMSE 0.2137, R2 -0.6660
x185: Cal. error 0.4370, RMSE 0.2163, R2 -0.6600
x186: Cal. error 0.4230, RMSE 0.2094, R2 -0.4909
x187: Cal. error 0.4090, RMSE 0.2079, R2 -0.3946
x188: Cal. error 0.3760, RMSE 0.2006, R2 -0.3303
x189: Cal. error 0.3880, RMSE 0.1985, R2 -0.3146
x190: Cal. error 0.3740, RMSE 0.1858, R2 -0.1526
x191: Cal. error 0.3370, RMSE 0.1535, R2 0.2160
x192: Cal. error 0.5050, RMSE 0.5301, R2 -8.1638
x193: Cal. error 0.5050, RMSE 0.5739, R2 -9.2054
x194: Cal. error 0.5050, RMSE 0.5979, R2 -9.2917
x195: Cal. error 0.5040, RMSE 0.6018, R2 -9.2419
x196: Cal. error 0.5020, RMSE 0.6125, R2 -9.3574
x197: Cal. error 0.5020, RMSE 0.6177, R2 -9.4001
x198: Cal. error 0.5020, RMSE 0.6325, R2 -9.6358
x199: Cal. error 0.4990, RMSE 0.6375, R2 -9.6083
x200: Cal. error 0.4990, RMSE 0.6406, R2 -10.0656
x201: Cal. error 0.4990, RMSE 0.6403, R2 -10.3832
x202: Cal. error 0.4990, RMSE 0.6459, R2 -10.8593
x203: Cal. error 0.4990, RMSE 0.6469, R2 -11.1950
x204: Cal. error 0.5020, RMSE 0.6417, R2 -11.6510
x205: Cal. error 0.5050, RMSE 0.6272, R2 -11.8452
x206: Cal. error 0.5020, RMSE 0.6108, R2 -11.8058
x207: Cal. error 0.5020, RMSE 0.5959, R2 -11.6572
x208: Cal. error 0.4990, RMSE 0.5929, R2 -11.9437
x209: Cal. error 0.4970, RMSE 0.5910, R2 -12.2122
x210: Cal. error 0.4970, RMSE 0.5889, R2 -12.4370
x211: Cal. error 0.4970, RMSE 0.5991, R2 -13.1132
x212: Cal. error 0.4970, RMSE 0.6073, R2 -13.6991
x213: Cal. error 0.4990, RMSE 0.6198, R2 -14.3193
x214: Cal. error 0.4990, RMSE 0.6404, R2 -15.1462
x215: Cal. error 0.4990, RMSE 0.6534, R2 -15.9755
x216: Cal. error 0.4990, RMSE 0.6534, R2 -16.6605
x217: Cal. error 0.4990, RMSE 0.6574, R2 -16.9940
x218: Cal. error 0.5020, RMSE 0.6733, R2 -17.4020
x219: Cal. error 0.5050, RMSE 0.6980, R2 -17.9205
x220: Cal. error 0.5050, RMSE 0.7373, R2 -18.5264
x221: Cal. error 0.5050, RMSE 0.7879, R2 -19.0338
x222: Cal. error 0.5050, RMSE 0.8405, R2 -19.0992
x223: Cal. error 0.5050, RMSE 0.8509, R2 -19.3249
x224: Cal. error 0.5050, RMSE 0.8449, R2 -19.4645
x225: Cal. error 0.5050, RMSE 0.8238, R2 -19.3311
x226: Cal. error 0.5050, RMSE 0.8131, R2 -18.6935
x227: Cal. error 0.5050, RMSE 0.7983, R2 -17.8970
x228: Cal. error 0.5050, RMSE 0.7945, R2 -17.1283
x229: Cal. error 0.5050, RMSE 0.8048, R2 -16.6861
x230: Cal. error 0.5050, RMSE 0.8276, R2 -16.7827
x231: Cal. error 0.5050, RMSE 0.8600, R2 -17.2201
x232: Cal. error 0.5050, RMSE 0.9027, R2 -17.8676
x233: Cal. error 0.5050, RMSE 0.8853, R2 -17.8792
x234: Cal. error 0.5050, RMSE 0.8753, R2 -17.9969
x235: Cal. error 0.5050, RMSE 0.9158, R2 -18.1288
x236: Cal. error 0.5050, RMSE 0.9305, R2 -18.4866
x237: Cal. error 0.5050, RMSE 0.8996, R2 -18.5333
x238: Cal. error 0.5050, RMSE 0.8607, R2 -18.4270
x239: Cal. error 0.5050, RMSE 0.8367, R2 -18.5335
x240: Cal. error 0.5050, RMSE 0.8328, R2 -19.0378
x241: Cal. error 0.5050, RMSE 0.8437, R2 -19.5448
x242: Cal. error 0.5050, RMSE 0.8505, R2 -20.4307
x243: Cal. error 0.5050, RMSE 0.8405, R2 -21.2194
x244: Cal. error 0.5050, RMSE 0.8318, R2 -22.1698
x245: Cal. error 0.5050, RMSE 0.8210, R2 -22.1640
x246: Cal. error 0.5050, RMSE 0.7991, R2 -21.3925
x247: Cal. error 0.5050, RMSE 0.7612, R2 -20.1096
x248: Cal. error 0.5050, RMSE 0.7361, R2 -18.7441
x249: Cal. error 0.5050, RMSE 0.7234, R2 -17.5720
x250: Cal. error 0.5050, RMSE 0.7255, R2 -16.9118
x251: Cal. error 0.5050, RMSE 0.7352, R2 -16.4805
x252: Cal. error 0.5050, RMSE 0.7052, R2 -15.5023
x253: Cal. error 0.5050, RMSE 0.6718, R2 -14.1378
x254: Cal. error 0.5050, RMSE 0.6246, R2 -12.1038
x255: Cal. error 0.5020, RMSE 0.5161, R2 -7.9171
x256: Cal. error 0.2490, RMSE 0.1363, R2 0.3019
x257: Cal. error 0.2270, RMSE 0.1491, R2 0.2559
x258: Cal. error 0.2690, RMSE 0.1815, R2 0.0925
x259: Cal. error 0.2540, RMSE 0.1895, R2 0.1490
x260: Cal. error 0.2870, RMSE 0.2032, R2 0.0862
x261: Cal. error 0.3210, RMSE 0.2161, R2 0.0474
x262: Cal. error 0.3520, RMSE 0.2262, R2 -0.0432
x263: Cal. error 0.3400, RMSE 0.2116, R2 0.0040
x264: Cal. error 0.3440, RMSE 0.2135, R2 -0.0249
x265: Cal. error 0.3410, RMSE 0.2084, R2 -0.0445
x266: Cal. error 0.3300, RMSE 0.1996, R2 -0.0165
x267: Cal. error 0.3030, RMSE 0.1852, R2 0.0608
x268: Cal. error 0.3060, RMSE 0.1874, R2 -0.0011
x269: Cal. error 0.3220, RMSE 0.1950, R2 -0.0744
x270: Cal. error 0.3600, RMSE 0.2133, R2 -0.2681
x271: Cal. error 0.3620, RMSE 0.2187, R2 -0.3673
x272: Cal. error 0.3510, RMSE 0.2178, R2 -0.4579
x273: Cal. error 0.3510, RMSE 0.2107, R2 -0.4483
x274: Cal. error 0.3520, RMSE 0.1996, R2 -0.3662
x275: Cal. error 0.3670, RMSE 0.1905, R2 -0.2603
x276: Cal. error 0.3380, RMSE 0.1784, R2 -0.1141
x277: Cal. error 0.3300, RMSE 0.1776, R2 -0.0839
x278: Cal. error 0.3210, RMSE 0.1743, R2 0.0101
x279: Cal. error 0.2920, RMSE 0.1721, R2 0.0891
x280: Cal. error 0.2850, RMSE 0.1734, R2 0.0669
x281: Cal. error 0.2860, RMSE 0.1806, R2 0.0217
x282: Cal. error 0.3070, RMSE 0.1940, R2 0.0217
x283: Cal. error 0.3380, RMSE 0.1947, R2 -0.0014
x284: Cal. error 0.3550, RMSE 0.1945, R2 -0.0848
x285: Cal. error 0.4000, RMSE 0.1943, R2 -0.1627
x286: Cal. error 0.4090, RMSE 0.1906, R2 -0.1976
x287: Cal. error 0.4090, RMSE 0.1716, R2 -0.1201
x288: Cal. error 0.3680, RMSE 0.1568, R2 -0.0577
x289: Cal. error 0.3170, RMSE 0.1460, R2 0.0369
x290: Cal. error 0.3140, RMSE 0.1452, R2 0.0797
x291: Cal. error 0.2410, RMSE 0.1444, R2 0.1870
x292: Cal. error 0.2300, RMSE 0.1471, R2 0.2768
x293: Cal. error 0.2170, RMSE 0.1504, R2 0.3204
x294: Cal. error 0.2520, RMSE 0.1648, R2 0.2702
x295: Cal. error 0.2730, RMSE 0.1710, R2 0.1979
x296: Cal. error 0.3070, RMSE 0.1779, R2 0.1140
x297: Cal. error 0.3210, RMSE 0.1795, R2 0.0619
x298: Cal. error 0.3270, RMSE 0.1716, R2 0.0600
x299: Cal. error 0.3260, RMSE 0.1590, R2 0.0943
x300: Cal. error 0.3140, RMSE 0.1554, R2 0.1478
x301: Cal. error 0.3280, RMSE 0.1590, R2 0.1198
x302: Cal. error 0.3450, RMSE 0.1712, R2 -0.0123
x303: Cal. error 0.3550, RMSE 0.1813, R2 -0.0966
x304: Cal. error 0.3600, RMSE 0.1911, R2 -0.1862
x305: Cal. error 0.3760, RMSE 0.1990, R2 -0.2782
x306: Cal. error 0.3810, RMSE 0.2094, R2 -0.3123
x307: Cal. error 0.3890, RMSE 0.2194, R2 -0.3288
x308: Cal. error 0.4050, RMSE 0.2438, R2 -0.5072
x309: Cal. error 0.3930, RMSE 0.2328, R2 -0.5967
x310: Cal. error 0.4060, RMSE 0.2288, R2 -0.6456
x311: Cal. error 0.4130, RMSE 0.2450, R2 -0.6688
x312: Cal. error 0.4170, RMSE 0.2591, R2 -0.7113
x313: Cal. error 0.4120, RMSE 0.2358, R2 -0.6268
x314: Cal. error 0.3860, RMSE 0.2195, R2 -0.5085
x315: Cal. error 0.3640, RMSE 0.2111, R2 -0.3898
x316: Cal. error 0.3150, RMSE 0.2030, R2 -0.2529
x317: Cal. error 0.3010, RMSE 0.2009, R2 -0.2567
x318: Cal. error 0.3070, RMSE 0.1753, R2 -0.1361
x319: Cal. error 0.2750, RMSE 0.1517, R2 0.1073
x320: Cal. error 0.5050, RMSE 0.5162, R2 -9.1100
x321: Cal. error 0.5050, RMSE 0.5832, R2 -10.4906
x322: Cal. error 0.5050, RMSE 0.6327, R2 -10.1327
x323: Cal. error 0.5050, RMSE 0.6835, R2 -10.1582
x324: Cal. error 0.5050, RMSE 0.7201, R2 -10.5408
x325: Cal. error 0.5050, RMSE 0.7368, R2 -10.1271
x326: Cal. error 0.5020, RMSE 0.7370, R2 -10.1206
x327: Cal. error 0.5020, RMSE 0.7009, R2 -9.9612
x328: Cal. error 0.5020, RMSE 0.7170, R2 -10.5760
x329: Cal. error 0.5020, RMSE 0.6960, R2 -10.6555
x330: Cal. error 0.5020, RMSE 0.6867, R2 -11.0401
x331: Cal. error 0.5020, RMSE 0.6661, R2 -11.1694
x332: Cal. error 0.5050, RMSE 0.6734, R2 -11.9651
x333: Cal. error 0.5050, RMSE 0.6747, R2 -11.9135
x334: Cal. error 0.5050, RMSE 0.6814, R2 -12.0124
x335: Cal. error 0.5050, RMSE 0.6524, R2 -11.2469
x336: Cal. error 0.5010, RMSE 0.6287, R2 -11.2256
x337: Cal. error 0.4980, RMSE 0.5986, R2 -10.7664
x338: Cal. error 0.4990, RMSE 0.5902, R2 -11.0152
x339: Cal. error 0.4990, RMSE 0.5917, R2 -11.2237
x340: Cal. error 0.5020, RMSE 0.6098, R2 -12.0729
x341: Cal. error 0.5050, RMSE 0.6265, R2 -12.5320
x342: Cal. error 0.5050, RMSE 0.6698, R2 -13.6569
x343: Cal. error 0.5050, RMSE 0.6995, R2 -14.0863
x344: Cal. error 0.5050, RMSE 0.7106, R2 -14.7000
x345: Cal. error 0.5050, RMSE 0.7187, R2 -14.5047
x346: Cal. error 0.5050, RMSE 0.7888, R2 -15.1701
x347: Cal. error 0.5050, RMSE 0.7934, R2 -15.6193
x348: Cal. error 0.5050, RMSE 0.7850, R2 -16.6495
x349: Cal. error 0.5050, RMSE 0.7671, R2 -17.1068
x350: Cal. error 0.5050, RMSE 0.7511, R2 -17.5888
x351: Cal. error 0.5050, RMSE 0.6905, R2 -17.1304
x352: Cal. error 0.5050, RMSE 0.6456, R2 -16.9388
x353: Cal. error 0.5050, RMSE 0.6204, R2 -16.3976
x354: Cal. error 0.5050, RMSE 0.6260, R2 -16.1228
x355: Cal. error 0.5050, RMSE 0.6483, R2 -15.4160
x356: Cal. error 0.5050, RMSE 0.6930, R2 -15.1040
x357: Cal. error 0.5050, RMSE 0.7120, R2 -14.3027
x358: Cal. error 0.5050, RMSE 0.7396, R2 -13.7788
x359: Cal. error 0.5050, RMSE 0.7140, R2 -13.0624
x360: Cal. error 0.5050, RMSE 0.6979, R2 -12.6989
x361: Cal. error 0.5050, RMSE 0.6741, R2 -12.2898
x362: Cal. error 0.5050, RMSE 0.6433, R2 -12.2696
x363: Cal. error 0.5050, RMSE 0.6083, R2 -12.2912
x364: Cal. error 0.5050, RMSE 0.6264, R2 -12.8605
x365: Cal. error 0.5050, RMSE 0.6358, R2 -13.0743
x366: Cal. error 0.5050, RMSE 0.6558, R2 -13.8408
x367: Cal. error 0.5050, RMSE 0.6748, R2 -14.1977
x368: Cal. error 0.5050, RMSE 0.7112, R2 -15.4302
x369: Cal. error 0.5050, RMSE 0.7226, R2 -15.8562
x370: Cal. error 0.5050, RMSE 0.7792, R2 -17.1779
x371: Cal. error 0.5050, RMSE 0.8382, R2 -18.4009
x372: Cal. error 0.5050, RMSE 0.9176, R2 -20.3439
x373: Cal. error 0.5050, RMSE 0.8668, R2 -21.1004
x374: Cal. error 0.5050, RMSE 0.8408, R2 -21.1659
x375: Cal. error 0.5050, RMSE 0.8628, R2 -19.6446
x376: Cal. error 0.5050, RMSE 0.8818, R2 -18.7692
x377: Cal. error 0.5050, RMSE 0.7967, R2 -17.5200
x378: Cal. error 0.5050, RMSE 0.7631, R2 -17.1783
x379: Cal. error 0.5050, RMSE 0.7434, R2 -16.2109
x380: Cal. error 0.5050, RMSE 0.7363, R2 -15.5032
x381: Cal. error 0.5050, RMSE 0.6989, R2 -14.2635
x382: Cal. error 0.5050, RMSE 0.6315, R2 -13.8308
x383: Cal. error 0.5050, RMSE 0.5314, R2 -10.0459
x384: Cal. error 0.2420, RMSE 0.1574, R2 0.1203
x385: Cal. error 0.2850, RMSE 0.1863, R2 -0.1625
x386: Cal. error 0.3090, RMSE 0.2012, R2 -0.4038
x387: Cal. error 0.3070, RMSE 0.2089, R2 -0.4182
x388: Cal. error 0.2810, RMSE 0.2087, R2 -0.3301
x389: Cal. error 0.3110, RMSE 0.2273, R2 -0.3898
x390: Cal. error 0.2820, RMSE 0.2317, R2 -0.3301
x391: Cal. error 0.2630, RMSE 0.2394, R2 -0.3139
x392: Cal. error 0.2640, RMSE 0.2491, R2 -0.3279
x393: Cal. error 0.3010, RMSE 0.2546, R2 -0.5446
x394: Cal. error 0.2920, RMSE 0.2424, R2 -0.5869
x395: Cal. error 0.3030, RMSE 0.2311, R2 -0.5837
x396: Cal. error 0.3200, RMSE 0.2226, R2 -0.5277
x397: Cal. error 0.3290, RMSE 0.2388, R2 -0.7049
x398: Cal. error 0.3060, RMSE 0.2445, R2 -0.8876
x399: Cal. error 0.3140, RMSE 0.2651, R2 -1.1572
x400: Cal. error 0.3030, RMSE 0.2775, R2 -1.1002
x401: Cal. error 0.3420, RMSE 0.3024, R2 -1.2400
x402: Cal. error 0.2890, RMSE 0.2792, R2 -0.9479
x403: Cal. error 0.2850, RMSE 0.2522, R2 -0.7715
x404: Cal. error 0.2130, RMSE 0.2028, R2 -0.2531
x405: Cal. error 0.2120, RMSE 0.1916, R2 -0.1664
x406: Cal. error 0.1800, RMSE 0.1898, R2 -0.0789
x407: Cal. error 0.1760, RMSE 0.1933, R2 -0.1254
x408: Cal. error 0.1900, RMSE 0.1948, R2 -0.1196
x409: Cal. error 0.2650, RMSE 0.2043, R2 -0.1953
x410: Cal. error 0.2690, RMSE 0.2052, R2 -0.1280
x411: Cal. error 0.2800, RMSE 0.2040, R2 -0.0522
x412: Cal. error 0.2770, RMSE 0.1905, R2 0.0486
x413: Cal. error 0.2810, RMSE 0.1808, R2 0.0609
x414: Cal. error 0.2650, RMSE 0.1819, R2 0.0245
x415: Cal. error 0.2940, RMSE 0.1757, R2 -0.0007
x416: Cal. error 0.2900, RMSE 0.1474, R2 0.0593
x417: Cal. error 0.2800, RMSE 0.1363, R2 0.1111
x418: Cal. error 0.2270, RMSE 0.1301, R2 0.1653
x419: Cal. error 0.1970, RMSE 0.1232, R2 0.2844
x420: Cal. error 0.1120, RMSE 0.1142, R2 0.4383
x421: Cal. error 0.1160, RMSE 0.1240, R2 0.4589
x422: Cal. error 0.1110, RMSE 0.1331, R2 0.4498
x423: Cal. error 0.1790, RMSE 0.1490, R2 0.3764
